PRIMARY_KEY,REP_DATE,REP_TIME,SEX,AGE_AT_OFFENSE,APD_RACE_DESC,LOCATION,PERSON_SEARCHED_DESC,REASON_FOR_STOP_DESC,SEARCH_BASED_ON_DESC,SEARCH_DISC_DESC,RACE_KNOWN,X_COORDINATE,Y_COORDINATE,SECTOR,LOCAL_FIELD1
201610156,01/01/2016 12:00:00 AM,30,M,43,BLACK,3300 NORTHLAND DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3109581,10095691,BAKER,10
201610203,01/01/2016 12:00:00 AM,41,M,24,HISPANIC OR LATINO,700 W BEN WHITE BLVD EB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3105520,10055729,DAVID,3
201630081,01/03/2016 12:00:00 AM,105,M,30,HISPANIC OR LATINO,2400 BLOCK RUTLAND DR,YES = 1,CALL FOR SERVICE,PROBABLE CAUSE,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3119743,10112685,ADAM PD,7
201610057,01/01/2016 12:00:00 AM,7,M,61,WHITE,4700 BLOCK S CONGRESS AVE,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,ALCOHOL,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3106509,10051553,DAVID,3
2016870184,03/27/2016 12:00:00 AM,153,M,38,WHITE,10200 BLOCK N LAMAR BLVD,NO = 2,,,,,3129214,10108662,EDWARD,4
201620230,01/02/2016 12:00:00 AM,317,M,31,WHITE,3800 W WILLIAM CANNON DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3086051,10051364,DAVID,8
201630902,01/03/2016 12:00:00 AM,1603,M,39,HISPANIC OR LATINO,1200 W ANDERSON LN,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3121528,10100731,IDA,7
201630123,01/03/2016 12:00:00 AM,140,F,16,WHITE,11900 DESSAU RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3140519,10111545,EDWARD,1
201630123,01/03/2016 12:00:00 AM,140,M,15,HISPANIC OR LATINO,11900 DESSAU RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3140519,10111545,EDWARD,1
201630123,01/03/2016 12:00:00 AM,140,M,16,HISPANIC OR LATINO,11900 DESSAU RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3140519,10111545,EDWARD,1
